Time(s) Ch1(μV) Ch2(μV) Ch3(μV) Ch4(μV)
5.067 -273.90 -247.01 -233.53 -284.96
5.070 -261.09 -234.49 -221.46 -273.76
5.074 -240.97 -214.11 -202.10 -255.39
5.078 -234.11 -207.07 -195.04 -249.20
5.082 -252.80 -225.91 -213.59 -265.96
5.086 -272.36 -245.09 -232.21 -283.60
5.090 -260.24 -233.04 -220.37 -272.51
5.094 -240.50 -213.37 -201.01 -254.27
5.098 -233.51 -206.55 -194.82 -248.86
5.102 -254.12 -227.14 -214.55 -268.02
5.106 -273.79 -246.85 -233.87 -285.48
5.110 -259.59 -232.86 -219.96 -271.98
5.114 -240.48 -213.73 -201.64 -255.10
5.118 -234.72 -207.98 -196.07 -250.61
5.122 -252.44 -225.80 -213.24 -266.48
5.126 -272.09 -245.22 -232.30 -283.71
5.130 -260.42 -233.87 -220.70 -272.89
5.134 -242.58 -215.90 -203.56 -257.40
5.138 -262.23 -235.39 -222.15 -274.59
5.142 -241.13 -214.49 -201.72 -255.57
5.146 -233.49 -206.73 -194.37 -248.93
5.150 -253.65 -226.89 -213.66 -266.41
5.154 -273.25 -246.56 -233.17 -284.67
5.158 -259.77 -233.11 -220.32 -272.33
5.162 -242.63 -215.76 -203.53 -257.07
5.166 -232.19 -205.61 -193.39 -247.95
5.170 -251.43 -224.75 -212.01 -264.73
5.174 -275.98 -249.00 -236.19 -287.35
5.178 -261.00 -233.62 -221.30 -273.25
5.182 -240.91 -213.77 -201.81 -255.35
5.186 -232.28 -205.55 -192.94 -247.23
5.190 -252.73 -226.24 -212.95 -265.90
5.194 -273.52 -247.28 -233.49 -284.67
5.198 -262.34 -235.45 -222.82 -274.75
5.203 -241.71 -214.44 -202.48 -256.20
5.207 -233.71 -206.62 -194.26 -248.66
5.211 -251.95 -225.46 -212.81 -266.52
5.215 -273.50 -246.47 -233.11 -283.89
5.219 -261.54 -234.74 -221.95 -274.01
5.223 -240.50 -213.55 -201.70 -255.53
5.227 -232.28 -205.32 -193.39 -247.84
5.231 -253.65 -226.69 -213.59 -266.92
5.235 -272.49 -245.56 -232.73 -283.96
5.239 -259.88 -233.13 -220.21 -272.22
5.243 -243.28 -216.50 -203.71 -257.58
5.247 -232.64 -205.88 -193.36 -247.34
5.251 -253.27 -226.40 -213.50 -266.59
5.255 -273.83 -247.01 -234.02 -285.70
5.259 -259.97 -233.20 -220.30 -272.09
5.263 -240.75 -213.97 -201.52 -255.03
5.267 -231.77 -204.99 -192.85 -247.32
5.272 -252.46 -225.73 -212.61 -265.47
5.276 -275.66 -248.69 -235.92 -287.60
5.280 -260.87 -234.16 -221.53 -273.76
5.284 -241.20 -214.24 -202.08 -255.50
5.288 -259.97 -233.20 -220.30 -272.09
5.292 -240.75 -213.97 -201.52 -255.03
5.296 -231.77 -204.99 -192.85 -247.32
5.300 -252.46 -225.73 -212.61 -265.47
5.304 -275.66 -248.69 -235.92 -287.60
5.308 -260.87 -234.16 -221.53 -273.76
5.312 -241.20 -214.24 -202.08 -255.50
5.316 -233.51 -206.62 -194.57 -248.84
