Time Ch1 Ch2 Ch3 Ch4 Ch5 Ch6 Ch7 Ch8 Ch9 Ch10 Ch11 Ch12 Ch13 Ch14
3.708 86269.04 75990.45 78192.17 92078.32 84802.56 65248.01 46704.75 50425.71 58877.65 58493.13 3732.41 692.23 143.81 1882.58
3.716 86252.99 75974.63 78177.44 92064.38 84788.66 65234.57 46693.22 50415.43 58878.61 58495.74 3735.29 695.74 149.22 1889.26
3.725 86259.32 75980.84 78183.03 92068.04 84790.90 65235.06 46692.08 50412.12 58854.96 58471.22 3710.23 670.11 123.49 1863.31
3.733 86267.07 75989.34 78192.62 92078.35 84803.05 65248.50 46708.49 50430.45 58880.93 58498.54 3737.70 698.16 153.20 1893.51
3.741 86263.92 75985.96 78188.61 92073.72 84797.27 65241.48 46700.17 50420.80 58877.49 58495.01 3733.39 691.83 145.85 1884.50
3.750 86262.67 75984.67 78188.08 92071.42 84794.34 65237.66 46698.18 50418.79 58874.11 58493.53 3730.13 688.10 143.34 1883.65
3.758 86263.63 75985.11 78188.55 92071.02 84793.73 65236.63 46696.95 50416.46 58881.02 58499.75 3734.82 691.94 147.12 1886.51
3.766 86263.00 75984.93 78189.11 92072.47 84795.66 65239.00 46700.66 50421.94 58861.53 58482.09 3717.70 675.83 132.52 1873.28
3.774 86264.48 75986.41 78189.82 92072.20 84794.00 65236.20 46696.66 50416.21 58880.69 58501.24 3736.36 693.73 150.38 1891.07
3.783 86255.47 75976.66 78180.37 92062.23 84783.94 65225.74 46686.45 50405.98 58856.10 58476.46 3710.41 667.76 124.14 1865.25
3.791 86265.24 75987.12 78191.12 92073.09 84794.81 65236.85 46698.65 50418.70 58873.71 58494.58 3728.16 684.63 142.02 1882.22
3.799 86260.46 75982.12 78186.89 92068.60 84790.90 65232.58 46694.98 50414.81 58867.05 58488.03 3721.45 677.48 134.76 1875.15
3.808 86278.38 76000.40 78205.62 92087.67 84810.61 65252.25 46715.15 50435.84 58886.14 58507.75 3741.08 696.86 154.70 1894.96
3.816 86266.49 75987.82 78192.06 92073.05 84794.94 65235.98 46697.82 50417.40 58872.86 58494.87 3727.65 683.70 141.40 1882.40
3.824 86244.41 75965.11 78168.79 92048.64 84769.42 65209.29 46670.38 50388.25 58863.81 58485.98 3717.61 673.44 131.38 1872.47
3.833 86266.67 75988.73 78194.31 92076.11 84799.30 65240.07 46704.28 50425.56 58858.76 58481.82 3713.32 668.38 127.45 1868.76
3.841 86276.53 75997.67 78202.27 92082.71 84803.86 65243.22 46706.09 50425.78 58888.55 58511.86 3743.16 698.27 156.98 1898.02
3.849 86251.87 75973.40 78178.27 92058.16 84779.16 65218.72 46681.91 50400.61 58855.07 58477.06 3707.35 661.75 119.94 1860.65
3.858 86256.14 75977.20 78182.76 92062.66 84784.21 65224.87 46689.44 50409.84 58868.21 58491.88 3724.00 678.98 139.16 1880.36
3.866 86260.99 75981.83 78187.63 92067.19 84788.75 65228.65 46693.17 50412.91 58863.32 58487.14 3717.72 672.41 131.83 1873.68
3.874 86256.16 75977.80 78183.21 92063.37 84784.48 65224.85 46690.18 50410.16 58871.10 58495.39 3725.21 679.00 139.41 1880.27
3.882 86263.70 75984.40 78189.51 92068.47 84788.44 65227.93 46691.92 50410.65 58863.07 58487.68 3717.99 672.25 133.02 1874.57
3.891 86258.56 75979.97 78186.13 92065.43 84785.89 65226.84 46692.12 50411.86 58867.32 58491.79 3720.69 673.91 134.60 1876.12
3.899 86256.16 75977.80 78183.21 92063.37 84784.48 65224.85 46690.18 50410.16 58871.10 58495.39 3725.21 679.00 139.41 1880.27
3.907 86263.70 75984.40 78189.51 92068.47 84788.44 65227.93 46691.92 50410.65 58863.07 58487.68 3717.99 672.25 133.02 1874.57
3.916 86258.56 75979.97 78186.13 92065.43 84785.89 65226.84 46692.12 50411.86 58867.32 58491.79 3720.69 673.91 134.60 1876.12
3.924 86278.67 75999.69 78204.84 92082.84 84802.41 65242.04 46706.50 50424.64 58867.99 58493.38 3721.88 675.20 136.39 1877.97
3.932 86252.32 75973.53 78178.91 92056.55 84776.72 65216.51 46681.55 50400.17 58875.52 58499.86 3726.89 679.47 140.17 1881.95
3.941 86275.41 75996.69 78202.72 92080.63 84799.93 65240.00 46704.62 50422.54 58860.19 58486.67 3714.44 666.77 128.21 1869.84
3.949 86249.66 75971.72 78178.00 92055.95 84775.70 65215.95 46681.73 50400.57 58868.68 58494.11 3720.45 673.01 134.94 1877.48
3.957 86246.26 75968.51 78176.21 92054.23 84775.00 65216.13 46683.18 50403.07 58855.14 58482.76 3710.05 662.01 124.61 1866.01
3.966 86268.03 75989.45 78195.43 92071.75 84790.72 65230.62 46695.72 50413.53 58861.66 58488.28 3714.19 665.86 128.52 1870.82
3.974 86269.49 75991.42 78198.29 92074.64 84794.27 65233.79 46699.99 50418.41 58867.14 58493.76 3719.24 670.87 133.51 1875.11
3.982 86258.29 75981.36 78188.84 92065.85 84786.07 65226.39 46693.91 50412.77 58880.24 58508.44 3733.84 684.75 147.54 1889.39
3.991 86257.46 75979.52 78186.49 92062.66 84782.29 65222.17 46688.88 50407.56 58858.65 58486.45 3711.78 662.89 126.22 1868.43
3.999 86265.48 75987.57 78194.36 92070.26 84788.97 65227.71 46694.49 50412.35 58867.10 58495.07 3719.00 669.70 132.64 1874.64
4.007 86266.51 75988.58 78195.68 92071.37 84790.25 65228.63 46696.33 50414.16 58867.12 58495.54 3719.84 670.53 134.83 1877.30
4.016 86242.28 75963.97 78171.27 92046.43 84764.41 65202.14 46670.13 50387.05 58856.61 58484.41 3707.42 657.57 120.81 1862.77
4.024 86274.05 75995.98 78204.24 92079.37 84796.91 65233.90 46702.49 50419.68 58855.16 58483.92 3706.21 655.60 119.36 1861.48
4.032 86259.25 75980.75 78190.09 92065.65 84784.59 65221.94 46692.95 50413.02 58870.94 58501.00 3724.69 674.84 141.20 1884.39
4.041 86258.44 75980.13 78188.91 92063.77 84782.07 65217.50 46687.97 50405.60 58865.60 58495.21 3717.30 665.75 130.94 1872.96
4.049 86253.71 75974.32 78183.97 92057.31 84774.49 65206.83 46680.43 50399.14 58857.98 58489.71 3709.79 657.88 125.19 1868.14
4.057 86264.05 75984.80 78194.63 92067.37 84784.50 65216.47 46690.13 50408.19 58855.88 58487.85 3707.48 655.22 122.69 1865.59
4.066 86270.29 75990.63 78199.97 92072.24 84787.57 65218.66 46691.79 50408.15 58862.56 58494.56 3713.16 660.34 127.54 1870.33
4.074 86244.12 75965.15 78175.00 92047.14 84763.65 65195.17 46670.15 50388.16 58862.20 58494.92 3713.38 660.23 128.43 1872.16
4.082 86254.49 75975.73 78186.56 92058.65 84775.32 65206.88 46682.65 50401.19 58844.30 58477.73 3695.53 642.70 111.18 1854.79
4.091 86262.82 75983.41 78193.49 92065.14 84780.64 65210.37 46686.25 50403.68 58864.03 58497.89 3715.53 661.75 129.19 1872.00
4.099 86250.46 75970.25 78180.43 92051.10 84766.55 65195.28 46671.45 50389.17 58842.26 58475.09 3691.44 637.74 105.86 1849.45
4.107 86265.19 75985.60 78196.42 92067.22 84782.89 65211.59 46688.46 50405.82 58866.49 58501.31 3718.12 664.20 133.53 1877.23
